hg19	rn6
DGKD	Dgkd
KARS	Kars
CAMK1	Camk1
DDO	Ddo
BRMS1L	Brms1l
GSTT1	Gstt1
FOS	Fos
AKAP3	Akap3
PSMG1	Psmg1
SPATA2	Spata2
CAMK1D	Camk1d
C1orf21	RGD1309104
PROK1	Prok1
DNAJC25	Dnajc25
DDX41	Ddx41
SOD2	Sod2
HIST1H1B	Hist1h1b
UBAC2	Ubac2
DHPS	Dhps
OR6A2	Olr226
TCEAL7	Tceal7
SPATA5	Spata5
IL3RA	Il3ra
HTR5A	Htr5a
PCGF6	RGD1562871
CPSF6	Cpsf6
PHIP	Phip
NFU1	Nfu1
CCDC53	Ccdc53
PITRM1	Pitrm1
HYI	Hyi
SPG7	Spg7
VAC14	Vac14
TBC1D17	Tbc1d17
RGCC	Rgcc
HID1	Hid1
NOP58	Nop58
CYP39A1	Cyp39a1
SFT2D2	Sft2d2
COMMD1	Commd1
NFX1	Nfx1
RECK	Reck
SFT2D1	Sft2d1
GFRA4	Gfra4
GTF3C5	Gtf3c5
TTC21A	Ttc21a
MRS2	Mrs2
PAPL	Papl
SMOX	Smox
ANAPC16	Anapc16
CAMK1G	Camk1g
KCNJ5	Kcnj5
RPS28	Rps28
PEX14	Pex14
PPP1R9B	Ppp1r9b
LINGO2	Lingo2
ANKZF1	Ankzf1
MOB4	Mob4
DHRS11	Dhrs11
ZKSCAN2	Zkscan2
AMPD3	Ampd3
C2orf47	MGC94335
CMAS	Cmas
SYT16	Syt16
TMEM164	Tmem164
RBM48	Rbm48
HECA	Heca
CYB5A	Cyb5a
CRELD1	Creld1
MIEF1	Smcr7l
OCRL	Ocrl
BRIX1	Brix1
SPNS2	Spns2
UNC5D	Unc5d
SYT14	Syt14
DERA	Dera
TTC21B	Ttc21b
HM13	Hm13
CAPN7	Capn7
PIK3R6	Pik3r6
ZSCAN20	Zscan20
ZBTB47	Zbtb47
GLT1D1	Glt1d1
CELF5	Celf5
GRIN3B	Grin3b
NSMCE1	Nsmce1
SH3GL2	Sh3gl2
NFIX	Nfix
DNAI2	Dnai2
CRLS1	Crls1
DGKH	Dgkh
FAM160B2	Fam160b2
ZNF239	Zfp239
FAM124A	Fam124a
AMT	Amt
MORN4	Morn4
AKAP4	Akap4
COL28A1	RGD1564680
PLEKHO1	Plekho1
TXLNA	Txlna
NDUFS3	Ndufs3
SCAMP5	Scamp5
JAZF1	Jazf1
GTF2F1	Gtf2f1
THG1L	Thg1l
MCM3	Mcm3
NUP85	Nup85
NUP54	Nup54
NID1	Nid1
TRMT13	Trmt13
HTR1D	Htr1d
STX18	Stx18
RSBN1L	Rsbn1l
TBC1D23	Tbc1d23
PCGF1	Pcgf1
KIF21A	Kif21a
PET112	Pet112l
LASP1	Lasp1
MTRR	Mtrr
OFCC1	Ofcc1
TRMT6	Trmt6
NFIC	Nfic
PIGB	Pigb
ADAMTS12	Adamts12
ZNF652	Zfp652
GALNT1	Galnt1
HTR1F	Htr1f
LIFR	Lifr
NFXL1	Nfxl1
ZNF664	Zfp664
NDUFV2	Ndufv2
FSTL1	Fstl1
UTP23	Utp23
EPC2	Epc2
HAUS6	Haus6
KIAA1033	RGD1309995
PAOX	Paox
SMEK2	Smek2
ITFG2	Itfg2
MSI1	Msi1
YEATS2	Yeats2
DOCK10	RGD1561963
ANKRD7	Ankrd7
SPNS1	Spns1
HIPK1	Hipk1
SGOL1	Sgol1
SMC6	Smc6
UFD1L	Ufd1l
CYP7B1	Cyp7b1
POLR2G	Polr2g
PARVB	Parvb
TXLNB	Txlnb
RAP1GDS1	Rap1gds1
GPR64	Gpr64
CBLL1	Cbll1
NFIB	Nfib
PABPN1L	Pabpn1l
LIN37	Lin37
TXLNG	Txlng
FOSL1	Fosl1
BRWD3	Brwd3
ARHGDIG	Arhgdig
PLEKHO2	Plekho2
LRRFIP1	Lrrfip1
DCAF7	Dcaf7
SNUPN	Snupn
EPC1	Epc1
ZNF879	Zfp879
PPP2R5D	Ppp2r5d
CPSF7	Cpsf7
ARRB1	Arrb1
YEATS4	Yeats4
NSG1	Nsg1
GPR133	Gpr133
SHKBP1	Shkbp1
ENOX2	Enox2
PDK4	Pdk4
MYCT1	Myct1
DKC1	Dkc1
SIRPB2	RGD1566226
EIF2B1	Eif2b1
TTC14	Ttc14
HIST3H3	Hist3h3
BRWD1	Brwd1
D2HGDH	D2hgdh
PDK2	Pdk2
ATP6V1C2	Atp6v1c2
MGAT2	Mgat2
PARP6	Parp6
LINGO3	Lingo3
PRMT10	Prmt10
NSUN7	Nsun7
WDR63	Wdr63
MRPS10	Mrps10
PRMT7	Prmt7
PDK1	Pdk1
ACIN1	Acin1
HGSNAT	Hgsnat
RILPL2	Rilpl2
UNC5B	Unc5b
SNAPIN	Snapin
HPD	Hpd
IFIT2	Ifit2
PPP2R5C	Ppp2r5c
GRIN1	Grin1
ARHGDIB	Arhgdib
AFAP1	Afap1
GID4	Gid4
ESF1	Esf1
PIGV	Pigv
DEF6	Def6
RILP	Rilp
GTF2A2	Gtf2a2
ZNF354B	Zfp354b
IL2RG	Il2rg
SLC7A6OS	Slc7a6os
MCCC2	Mccc2
SLC5A10	Slc5a10
MAGEE2	Magee2
PPP4R4	Ppp4r4
GZMK	Gzmk
CNOT4	Cnot4
PRPF3	Prpf3
API5	Api5
NOA1	Noa1
CCDC18	Ccdc18
OSMR	Osmr
OSR2	Osr2
CCNDBP1	Ccndbp1
LPHN1	Lphn1
CAPN15	Capn15
AK7	Ak7
CPT2	Cpt2
AMPD1	Ampd1
ZNF454	Zfp454
MPDU1	Mpdu1
NUPL1	Nupl1
RPN2	Rpn2
IFIT3	Ifit3
MAGEE1	Magee1
C9orf78	RGD1305178
GRIN3A	GRIN3A
EFHB	Efhb
SPPL3	Sppl3
SCAMP2	Scamp2
KIAA1644	RGD1566029
LRRFIP2	Lrrfip2
RAD17	Rad17
PARVG	Parvg
PPP2R5A	Ppp2r5a
LPHN3	Lphn3
DTWD1	Dtwd1
AP1M1	Ap1m1
EBAG9	Ebag9
SLC5A11	Slc5a11
VPS54	Vps54
PARP8	Parp8
TRNAU1AP	Trnau1ap
TBL2	Tbl2
BCKDK	Bckdk
CDC34	Cdc34
GPC1	Gpc1
ARRB2	Arrb2
RSL24D1	Rsl24d1
GID8	Gid8
ZFP90	Zfp90
GNA15	Gna15
AGXT	Agxt
NTHL1	Nthl1
SUPT7L	Supt7l
TM2D1	Tm2d1
PON2	Pon2
MTTP	Mttp
FOSB	Fosb
ALDH4A1	Tas1r2
SNX18	Snx18
EVA1A	Eva1a
VIMP	Vimp
TRNT1	Trnt1
KDM1A	Kdm1a
GNA11	Gna11
KCNJ1	Kcnj1
GCDH	Gcdh
FSTL4	Fstl4
GM2A	Gm2a
HMCES	Hmces
PRSS57	Prss57
PCGF3	Pcgf3
CHPT1	Chpt1
CFD	Cfd
CCBE1	Ccbe1
KCTD3	Kctd3
DGKQ	Dgkq
GNAQ	Gnaq
GZMM	Gzmm
UBE2R2	Ube2r2
CHMP6	Chmp6
FTSJ1	Ftsj1
MSH4	Msh4
GZMA	Gzma
BOK	Bok
CYP7A1	Cyp7a1
RCE1	Rce1
PTRH2	Ptrh2
KIAA0141	RGD735029
TBC1D13	Tbc1d13
PGAM5	Pgam5
LPHN2	Lphn2
ERCC2	Ercc2
CETN2	Cetn2
SCAPER	Scaper
GLI4	Gli4
MAGEH1	Mageh1
NID2	Nid2
WRB	Wrb
ALG6	Alg6
TUBAL3	Tubal3
GPN1	Gpn1
RPL39	RPL39
C11orf73	l7Rn6
FAM154B	Fam154b
GNA14	Gna14
SNX9	Snx9
PRMT5	Prmt5
SARNP	Sarnp
IRF2	Irf2
IL5RA	Il5ra
GABRG2	Gabrg2
ENOX1	Enox1
IFT88	Ift88
PTER	Pter
TRAF3IP1	Traf3ip1
SWAP70	Swap70
FAM160B1	Fam160b1
ADAMTS7	Adamts7
YRDC	Yrdc
CALY	Caly
SCAMP4	Scamp4
SUPT20H	Supt20
USP14	Usp14
TBCCD1	Tbccd1
PPP2R5E	Ppp2r5e
MEMO1	Memo1
HIST1H3E	Hist1h3b
GLOD4	Glod4
UBXN6	Ubxn6
CHEK2	Chek2
SGSM2	Sgsm2
NPTX1	Nptx1
SLC25A12	Slc25a12
IMMT	Immt
COASY	Coasy
STOX1	Stox1
PFKP	Pfkp
EVA1C	Eva1c
UROS	Uros
CEP97	Cep97
NIP7	Nip7
NSG2	Nsg2
C6orf203	1700021F05Rik
DOCK11	Dock11
NSUN5	Nsun5
C9orf16	RGD1561113
ARR3	Arr3
LIN7C	Lin7c
MSI2	Msi2
PCGF5	Pcgf5
CSF3R	Csf3r
SGSM1	Sgsm1
GDA	Gda
CACNA1H	Cacna1h
OR6B1	Olr811
TM2D3	Tm2d3
QTRT1	Qtrt1
AP2M1	Ap2m1
ZCCHC16	Zcchc16
RPL39L	Rpl39l
CYP2E1	Cyp2e1
RBKS	Rbks
PISD	Pisd
DUSP12	Dusp12
CCDC109B	Ccdc109b
MMRN2	Mmrn2
ATP6V1C1	Atp6v1c1
SMYD4	Smyd4
ITPK1	Itpk1
SLC5A2	Slc5a2
CYB5B	Cyb5b
SCUBE1	Scube1
PCCB	Pccb
LIN7B	Lin7b
SLC23A3	Slc23a3
FXYD4	Fxyd4
TECPR2	Tecpr2
SPATA20	Spata20
METTL20	Mettl20
CELF2	Celf2
BAG1	Bag1
SLC5A9	Slc5a9
NCLN	Ncln
ACADVL	Acadvl
TESK2	Tesk2
CACNA2D2	Cacna2d2
MOV10	Mov10
PPP1R9A	Ppp1r9a
PDZD11	Pdzd11
FAM3B	Fam3b
CMC2	CMC2
ZNF593	Zfp593
HEG1	Heg1
TBC1D25	Tbc1d25
AMPD2	Ampd2
DDOST	Ddost
TBC1D5	Tbc1d5
GPC4	Gpc4
NELFCD	Nelfcd
KHK	Khk
C16orf62	9030624J02Rik
CASC1	Casc1
AGGF1	Aggf1
PARVA	Parva
KIAA2013	RGD1305350
LINGO4	Lingo4
RPS19BP1	Rps19bp1
OR6Q1	Olr286
AP3M2	Ap3m2
DPH1	Dph1
ARFGAP1	Arfgap1
IFT122	Ift122
MLLT4	Mllt4
TMEM82	Tmem82
RNF168	Rnf168
ZNF365	Zfp365
CCDC176	Ccdc176
RNF180	Rnf180
MEAF6	Meaf6
PIGF	Pigf
SMPX	Smpx
LACE1	Lace1
DAP3	Dap3
YIPF3	Yipf3
EVA1B	Eva1b
RAVER1	Raver1
PRIM1	Prim1
MRPL19	Mrpl19
GTPBP8	Gtpbp8
COL6A5	Col6a5
STOML2	Stoml2
GALNT16	Galnt16
PGAP1	Pgap1
YOD1	Yod1
GINS1	Gins1
SCO2	Sco2
FBXO41	Fbxo41
COL6A6	Col6a6
SLC25A13	Slc25a13
FXYD3	Fxyd3
SLC35B4	Slc35b4
GATAD2B	Gatad2b
IL6ST	Il6st
HOXC13	Hoxc13
TBC1D15	Tbc1d15
SNRPA1	Snrpa1
PIH1D3	Pih1d3
FAM3C	Fam3c
AP3M1	Ap3m1
CCDC138	Ccdc138
C1orf123	RGD1559786
SF3B1	Sf3b1
SCUBE3	Scube3
MMRN1	Mmrn1
POC5	Poc5
SESTD1	Sestd1
ACAD9	Acad9
FOSL2	Fosl2
PSMF1	Psmf1
STOML3	Stoml3
RNMTL1	Rnmtl1
CIAPIN1	Ciapin1
CUTC	Cutc
SF3B5	Sf3b5
NSMCE4A	Nsmce4a
EXOSC10	Exosc10
RNF141	rnf141
ZNF703	Zfp703
JAGN1	Jagn1
GATAD2A	Gatad2a
RPL30	Rpl30
EFCAB2	Efcab2
APIP	Apip
PSMC4	Psmc4
DOCK9	Dock9
HES7	Hes7
SH3GLB1	Sh3glb1
EMC4	Emc4
IQCB1	Iqcb1
TRMT61A	Trmt61a
NEDD8	Nedd8
FADS6	Fads6
SMC3	Smc3
ARHGDIA	Arhgdia
METTL9	Mettl9
UQCRH	Uqcrh
RAVER2	Raver2
PHF5A	Phf5a
HOXD13	Hoxd13
SHCBP1L	Shcbp1l
LRRC4B	Lrrc4b
LRRIQ3	Lrriq3
HPS5	Hps5
LEO1	Leo1
SDHC	Sdhc
ABCA6	Abca6
TVP23B	Tvp23b
ALG14	Alg14
MCU	Mcu
LRRC4C	Lrrc4c
STX5	Stx5
SH3GLB2	Sh3glb2
TMEM66	Tmem66
SCO1	Sco1
LIMK1	Limk1
SPATA18	Spata18
APPBP2	Appbp2
CMSS1	Cmss1
LSM12	Lsm12
GABRG3	Gabrg3
LAMTOR5	Lamtor5
BBS9	Bbs9
WARS2	Wars2
MMGT1	Mmgt1
SMEK1	Smek1
DDX58	Ddx58
SLC37A2	Slc37a2
PI4KB	Pi4kb
PWP2	Pwp2
IVD	Ivd
FSCN2	Fscn2
RPF2	Rpf2
TIPRL	Tiprl
NPHS2	Nphs2
ATP6V0B	Atp6v0b
LINGO1	Lingo1
INSM2	Insm2
BLOC1S2	Bloc1s2
PSPC1	Pspc1
KCNJ11	Kcnj11
CALD1	Cald1
METTL16	Mettl16
LACC1	Lacc1
SLC25A18	Slc25a18
ZFAND3	Zfand3
DNAJC24	Dnajc24
ZNF503	Zfp503
SYT15	Syt15
C12orf49	RGD1562310
C18orf32	RGD1562987
FBXO9	Fbxo9
UBE2G2	Ube2g2
GABRG1	Gabrg1
METTL1	Mettl1
ITFG1	Itfg1
STOML1	Stoml1
ALKBH4	Alkbh4
PCDHGA5	Pcdhga5
PIGQ	Pigq
NICN1	Nicn1
SEPSECS	Sepsecs
CBY1	CBY1
MPND	Mpnd
SLC23A2	Slc23a2
PPP3CB	Ppp3cb
PEX3	Pex3
IL13RA1	Il13ra1
PCDHGA1	Pcdhga1
BCAS2	Bcas2
CCNF	Ccnf
CELF4	Celf4
SLC37A1	Slc37a1
ABCA8	Abca8b
N6AMT2	N6amt2
GABRE	Gabre
COL16A1	Col16a1
QTRTD1	Qtrtd1
CACNA1S	Cacna1s
IL13RA2	Il13ra2
MRPL13	Mrpl13
PCDHGA3	Pcdhga3
CCT4	Cct4
AKTIP	Aktip
MYSM1	Mysm1
XKR6	Xkr6
C10orf76	RGD1564887
MLEC	Mlec
CEPT1	Cept1
PCDHGA2	Pcdhga2
STOM	Stom
NPTXR	Nptxr
AUTS2	Auts2
SETD7	Setd7
NUP160	Nup160
TMEM237	Tmem237
PON1	Pon1
MRPL22	Mrpl22
C6orf89	RGD735065
TXNDC17	Txndc17
DHX58	Dhx58
PCDHGA7	Pcdhga7
STX8	Stx8
TMEM243	Tmem243
PON3	Pon3
CNKSR2	CNKSR2
PCDHGA8	Pcdhga8
TREX2	Trex2
PCDHGA10	Pcdhga10
EIF2B3	Eif2b3
WDR19	Wdr19
PCDHGA4	Pcdhga4
ZNF354A	Zfp354a
DNAJC27	Dnajc27
USP51	Usp51
PCDHGA12	Pcdhga12
TPRA1	Tpra1
LSM3	Lsm3
GPR149	Gpr149
SNN	Snn
PLCXD2	Plcxd2
ZNF287	Zfp287
TMEM62	Tmem62
PRPF39	Prpf39
FBRS	Fbrs
MTFP1	Mtfp1
SH3GL1	Sh3gl1
RCC1	Rcc1
BTBD16	Btbd16
PLCXD3	Plcxd3
CCDC114	Ccdc114
USP27X	Usp27x
C5orf24	RGD1566359
TMEM19	Tmem19
TFB2M	TFB2M
GCLC	Gclc
PFKM	Pfkm
GALT	Galt
IAH1	Iah1
MIPEP	Mipep
ITGA1	Itga1
FSCN3	Fscn3
C14orf1	RGD1310769
SF3B14	0610009D07Rik
DDX27	Ddx27
ABCA9	Abca9
SPRR3	Sprr3
TREX1	Trex1
PFKL	Pfkl
SH3GL3	Sh3gl3
FBRSL1	Fbrsl1
CEP120	Cep120
CBY3	Cby3
NDUFS2	Ndufs2
STOX2	Stox2
NAPEPLD	Napepld
PRKRIP1	Prkrip1
CD74	Cd74
LIN9	Lin9
NAPG	Napg
THAP4	Thap4
HOXB13	Hoxb13
PHYHD1	Phyhd1
BLVRA	Blvra
SDHAF2	Sdhaf2
RUSC2	Rusc2
IRF4	Irf4
KCNJ16	Kcnj16
CHIC2	Chic2
SYT17	SYT17
CDIPT	Cdipt
CETN1	Cetn1
EMC2	Emc2
CSF2RB	Csf2rb
GALNT13	Galnt13
PNPLA7	Pnpla7
INIP	Inip
TRAPPC13	Trappc13
MEIOB	Meiob
PXDC1	Pxdc1
GPC2	Gpc2
PIGA	Piga
GGT7	Ggt7
USO1	Uso1
RCHY1	Rchy1
TSN	Tsn
MAK16	Mak16
C3orf18	RGD1307461
GPR137C	Gpr137c
BORA	Bora
PTX4	Ptx4
MED31	Med31
TCF3	Tcf3
KCNJ15	Kcnj15
SSC5D	Ssc5d
MRPL51	Mrpl51
ISPD	Ispd
RNF219	Rnf219
AADAT	Aadat
PTGIS	Ptgis
AKAP1	Akap1
ACTR8	Actr8
GPR137B	Gpr137b
MCM10	Mcm10
KMO	Kmo
DYRK1B	Dyrk1b
NT5M	Nt5m
PAFAH1B1	Pafah1b1
USP22	Usp22
SHCBP1	Shcbp1
ENGASE	Engase
CCDC69	Ccdc69
ADAT2	Adat2
COL9A3	Col9a3
TCF4	Tcf4
PVRL1	Pvrl1
PHLPP2	Phlpp2
ZCCHC5	Zcchc5
ABHD10	Abhd10
TVP23A	TVP23A
KCNJ10	Kcnj10
UNC5CL	Unc5cl
NPTX2	Nptx2
GMCL1	Gmcl1
DDRGK1	Ddrgk1
LMCD1	Lmcd1
M1AP	RGD1563842
UNC5A	Unc5a
ARV1	Arv1
NUAK1	Nuak1
SIVA1	Siva1
CD84	Cd84
CYP8B1	Cyp8b1
GNGT2	Gngt2
ASTN1	Astn1
DHCR7	Dhcr7
SCN7A	Scn7a
SOBP	Sobp
CRNKL1	Crnkl1
GALNT2	Galnt2
CFLAR	CFLAR
SLC37A3	Slc37a3
RNF169	Rnf169
GPR137	Gpr137
SYT11	Syt11
TULP1	Tulp1
MRPL9	mrpl9
ERMARD	RGD1309374
RSRC2	Rsrc2
AATF	Aatf
SNX31	Snx31
TESK1	Tesk1
RGS9BP	Rgs9bp
UNC5C	Unc5c
TCF12	Tcf12
TEX9	Tex9
PGAP2	Pgap2
ADCY8	Adcy8
ARHGAP4	Arhgap4
RNASEH2A	Rnaseh2a
CCSER2	Ccser2
C21orf91	RGD1563888
KCNJ8	Kcnj8
IFIH1	Ifih1
LCLAT1	Lclat1
GALNT14	Galnt14
GPALPP1	RGD1307254
ZNHIT1	Znhit1
SEC61B	Sec61b
KCTD8	Kctd8
MEF2B	Mef2b
NMT2	Nmt2
OGFOD2	Ogfod2
MORN5	Morn5
CCDC63	Ccdc63
CAMLG	Camlg
MZT1	Mzt1
TSPAN12	Tspan12
SLAMF6	Slamf6
SAG	Sag
MATN3	Matn3
KANSL3	Kansl3
EIF3E	Eif3e
INTS10	Ints10
ITGA10	Itga10
ADH4	Adh4
PSME4	Psme4
LBR	Lbr
FGF1	Fgf1
PRICKLE3	Prickle3
RAB6B	Rab6b
PCSK5	Pcsk5
TUB	Tub
SIGMAR1	Sigmar1
CACYBP	Cacybp
SCG3	Scg3
NOL12	Nol12
GLT6D1	Glt6d1
ANKS1A	Anks1a
GSE1	Gse1
LTBP1	Ltbp1
C2orf76	3110009E18Rik
PNOC	Pnoc
MTUS1	Mtus1
LIMK2	Limk2
BBS7	Bbs7
SERGEF	Sergef
LYRM2	Lyrm2
GGCT	Ggct
ZMAT5	Zmat5
GPC5	Gpc5
DRG2	Drg2
PRICKLE2	Prickle2
AAR2	AAR2
INCENP	Incenp
FBXO30	Fbxo30
TECPR1	Tecpr1
LRRC28	Lrrc28
FAM3A	Fam3a
KCNRG	Kcnrg
FTO	Fto
PEPD	Pepd
CBFB	Cbfb
CCDC86	Ccdc86
FGF2	Fgf2
STRC	Strc
SLAMF7	Slamf7
CENPO	Cenpo
ZNF276	Zfp276
UXT	Uxt
VSTM4	Vstm4
RAD54L	RAD54L
CACNA1G	CACNA1G
A3GALT2	A3galt2
CA10	Ca10
C2orf40	RGD1305645
FAM43B	Fam43b
AICDA	aicda
SMC2	Smc2
CACNA1I	Cacna1i
LIN52	Lin52
PRICKLE1	Prickle1
HECW2	Hecw2
CREBRF	Crebrf
NHLRC4	Nhlrc4
HIPK3	Hipk3
PNPLA6	Pnpla6
COL9A1	Col9a1
TEX264	Tex264
FAM3D	Fam3d
PCDHGB7	Pcdhgb7
TM7SF2	Tm7sf2
IRF1	Irf1
EIF6	Eif6
PCDHGB3	Pcdhgb8
SYT4	Syt4
DIEXF	Diexf
BIRC2	Birc2
PPP4R1	Ppp4r1
SLC23A1	Slc23a1
BIRC3	Birc3
TM7SF3	Tm7sf3
TMEM101	Tmem101
MARVELD3	Marveld3
ZCCHC4	Zcchc4
HOXB7	Hoxb7
XKR9	Xkr9
IRF9	Irf9
LOXL1	Loxl1
PHLPP1	Phlpp1
AP3D1	Ap3d1
NUDCD2	Nudcd2
ZDHHC22	Zdhhc22
CEP85	Cep85
EPHA2	Epha2
CCDC134	Ccdc134
CA11	Car11
MND1	Mnd1
TGIF2-C20orf24	RGD1307752
NT5C	Nt5c
TRMU	Trmu
ZNF692	ZFP692
GTF2E2	Gtf2e2
BIRC7	Birc7
SLAMF9	Slamf9
CLPB	Clpb
KIAA0247	4933426M11Rik
KIAA1279	2510003E04Rik
ASPA	Aspa
IRF8	Irf8
ITGA11	Itga11
TMEM196	Tmem196
C19orf12	1600014C10Rik
KIAA1432	RGD1310016
PVRL2	Pvrl2
MRPS18A	Mrps18a
ARHGEF39	Arhgef39
SCUBE2	Scube2
G6PD	G6pd
NMT1	Nmt1
PPP3CC	PPP3CC
KIAA1731	5830418K08Rik
COG7	Cog7
TOB2	Tob2
NLRC4	Nlrc4
IFT46	Ift46
IQUB	Iqub
HELZ2	Helz2
SLC51A	Slc51a
CELF1	Celf1
SQSTM1	SQSTM1
GGT6	Ggt6
DFFB	Dffb
FAM184A	Fam184a
MEF2C	Mef2c
CCDC65	Ccdc65
CHIC1	Chic1
CACNA2D4	Cacna2d4
DCLRE1A	Dclre1a
LY9	Ly9
SLC30A9	Slc30a9
KCTD15	Kctd15
GLCE	Glce
SNRPD3	Snrpd3
PAM16	Pam16
CNKSR1	Cnksr1
ADCY1	Adcy1
ZNF653	Zfp653
NAGLU	Naglu
EZH2	Ezh2
MATN2	Matn2
BLOC1S6	Bloc1s6
NTPCR	Ntpcr
IBTK	Ibtk
ABCA5	Abca5
MORN1	Morn1
LONP2	Lonp2
GFM1	Gfm1
TKTL1	Tktl1
CXorf56	RGD1564541
TRIM32	Trim32
SLC35G1	Slc35g1
HIPK2	Hipk2
SST	Sst
METRNL	Metrnl
RHBDF1	Rhbdf1
BFAR	Bfar
PPP1R42	Ppp1r42
MBLAC2	Mblac2
C10orf2	Peo1
SYS1-DBNDD2	Sys1
TMEM260	Tmem260
WDR38	Wdr38
GNGT1	Gngt1
LOX	Lox
GPATCH3	Gpatch3
BMP15	Bmp15
TKTL2	Tktl2
COPE	COPE
PTPLAD2	Ptplad2
NDUFAF3	Ndufaf3
HDGFRP3	Hdgfrp3
PCNA	Pcna
OTOA	Otoa
RBM28	Rbm28
ELMOD3	Elmod3
EEPD1	Eepd1
MTUS2	RGD1562533
IFT43	Ift43
PDE9A	Pde9a
RAB34	Rab34
TRAPPC1	Trappc1
MEF2D	Mef2d
CECR5	Cecr5
ARHGAP39	Arhgap39
RHBDD1	Rhbdd1
LIN28B	Lin28b
MYCBPAP	Mycbpap
DFFA	Dffa
DICER1	Dicer1
VPS72	Vps72
VASN	Vasn
HIBCH	Hibch
IPPK	Ippk
PCDHGA11	Pcdhga11
RAD54B	Rad54b
SLC25A44	Slc25a44
CCDC93	Ccdc93
SRF	Srf
EPHA1	Epha1
LGI3	Lgi3
OR4C3	Olr729
SEPN1	Sepn1
H6PD	H6pd
FANCI	Fanci
SRGAP1	Srgap1
SNX17	Snx17
MORN3	Morn3
CEP85L	Cep85l
SUPT6H	Supt6h
CPOX	Cpox
EXOC8	Exoc8
CCDC102A	Ccdc102a
TSSC1	Tssc1
COMMD6	Commd6
PLA2G3	Pla2g3
KCTD1	Kctd1
AKAP10	Akap10
UBA2	Uba2
TNNI2	Tnni2
C11orf54	RGD1309534
GFM2	Gfm2
ADCY6	Adcy6
MEF2A	Mef2a
SLC25A46	Slc25a46
HYKK	Hykk
PDRG1	Pdrg1
SLX4	Slx4
SRGAP3	Srgap3
SCGB3A2	Scgb3a2
EFR3A	Efr3a
C11orf16	BC051019
MATN4	Matn4
DCLRE1B	Dclre1b
TREML4	Treml4
WDYHV1	Wdyhv1
RHBDF2	Rhbdf2
APLF	Aplf
PAXIP1	Paxip1
HIPK4	Hipk4
ADH6	Adh6
DDX31	Ddx31
SDCCAG8	Sdccag8
SUSD4	Susd4
FUCA1	Fuca1
CRIPT	Cript
AGPAT3	Agpat3
SNRNP48	Snrnp48
MAN1B1	Man1b1
C14orf159	RGD1311756
RUVBL1	Ruvbl1
MDM2	Mdm2
GPC3	Gpc3
ABCA13	Abca13
EPHB6	Ephb6
DDC8	Ddc8
MDC1	Mdc1
METAP2	Metap2
SCGB3A1	Scgb3a1
RCBTB1	Rcbtb1
SNAP29	Snap29
DNLZ	DNLZ
DOCK8	Dock8
TMEM179	Tmem179
SRGAP2	Srgap2
PPP3CA	PPP3CA
CENPN	Cenpn
DPT	Dpt
SNX27	Snx27
PRSS55	Prss55
XRCC5	Xrcc5
GDF15	Gdf15
ITGA2	Itga2
DCAF13	Dcaf13
ALS2CL	Als2cl
SZT2	Szt2
DNAL1	Dnal1
NPHP4	Nphp4
C2orf43	RGD1311648
FGFRL1	Fgfrl1
RAPGEF1	Rapgef1
TMBIM1	Tmbim1
SHBG	Shbg
TRMT44	Trmt44
ZW10	Zw10
ASPSCR1	Aspscr1
WDR35	Wdr35
COMMD10	Commd10
XKR7	Xkr7
FAM184B	Fam184b
ACOT4	Acot4
TULP4	Tulp4
CIRH1A	Cirh1a
KCTD16	Kctd16
LMBRD1	Lmbrd1
TTLL12	Ttll12
DSCR3	Dscr3
METRN	Metrn
RFXAP	Rfxap
HEATR2	Heatr2
FAM35A	Fam35a
SCG5	Scg5
RPS5	RPS5
HBS1L	Hbs1l
ACY3	Acy3
GNL1	Gnl1
OFD1	Ofd1
POC1B	Poc1b
TXNDC11	Txndc11
XKR4	Xkr4
PSMD3	Psmd3
UPF1	Upf1
POC1A	Poc1a
IGFBP6	Igfbp6
NONO	Nono
ALS2	Als2
TTC19	Ttc19
WBP4	Wbp4
SMC4	Smc4
UBA3	Uba3
CRYZL1	Cryzl1
DOCK6	Dock6
LRRC20	Lrrc20
ACBD6	Acbd6
ZNF575	Zfp575
MRPS14	Mrps14
CXCL14	Cxcl14
ACOT6	Acot6
CDKN3	CDKN3
CLEC16A	Clec16a
CDC45	Cdc45
OSER1	Oser1
STARD6	Stard6
NODAL	Nodal
XKR8	Xkr8
FBXO40	Fbxo40
PINK1	Pink1
SIRT4	Sirt4
AGPAT4	Agpat4
MOV10L1	Mov10l1
KCNJ13	Kcnj13
POFUT2	Pofut2
DCLRE1C	Dclre1c
KIAA1430	RGD1307325
CCNA2	Ccna2
BMP3	Bmp3
PINX1	Pinx1
IGDCC4	Igdcc4
AREL1	Arel1
ZNF358	Zfp358
SETD6	Setd6
HOXB8	Hoxb8
RAD51C	Rad51c
EMG1	Emg1
RDM1	Rdm1
ZNF512B	Zfp512b
PPP1R37	Ppp1r37
RPN1	Rpn1
MRPL18	Mrpl18
PRSS54	Prss54
HMGN3	Hmgn3
DRG1	Drg1
CYBA	Cyba
GLMN	GLMN
GAS6	Gas6
ZNF518B	Zfp518b
C5orf34	RGD1306227
NSMF	NSMF
FBXL5	Fbxl5
PCSK6	Pcsk6
FAM19A2	Fam19a2
CCNA1	Ccna1
VIPAS39	Vipas39
